id,organization_id,parent_id,name,sku,description,category,type,quantity,unit,supplier_organization_id,metadata,data_completeness,missing_data_fields,status,created_at,updated_at
1,1,,"EcoSmart Laptop","LAPTOP-001","Sustainable laptop with recycled materials","Electronics","final_product",1.0,"pcs",2,"{""sustainabilityScore"": 85, ""certifications"": [""EPEAT Gold"", ""Energy Star""], ""originCountry"": ""Taiwan"", ""carbonFootprint"": 45.2, ""weightKg"": 1.8, ""recycledContent"": 35}",78.5,"{battery_supplier,packaging_materials}","active","2024-02-01 10:00:00+00","2024-02-15 14:30:00+00"
2,3,,"Organic Cotton T-Shirt","SHIRT-001","100% organic cotton sustainable t-shirt","Apparel","final_product",1.0,"pcs",4,"{""sustainabilityScore"": 92, ""certifications"": [""GOTS"", ""OEKO-TEX""], ""originCountry"": ""India"", ""carbonFootprint"": 12.3, ""weightKg"": 0.18, ""recycledContent"": 0, ""brand"": ""EcoFashion""}",95.2,"{transportation_details}","active","2024-02-05 11:30:00+00","2024-02-20 09:15:00+00"
3,2,,"Recycled Plastic Pellets","PELLET-001","High-grade recycled plastic pellets for manufacturing","Raw Materials","raw_material",1000.0,"kg",5,"{""sustainabilityScore"": 88, ""certifications"": [""GRS""], ""originCountry"": ""Germany"", ""carbonFootprint"": 2.1, ""weightKg"": 25.0, ""recycledContent"": 100}",89.3,"{source_verification,quality_testing}","active","2024-01-28 13:45:00+00","2024-02-10 16:20:00+00"
4,4,,"Bamboo Fiber Yarn","YARN-001","Sustainable bamboo fiber for textile manufacturing","Textiles","raw_material",5.0,"kg",2,"{""sustainabilityScore"": 94, ""certifications"": [""FSC"", ""OEKO-TEX""], ""originCountry"": ""China"", ""carbonFootprint"": 8.7, ""weightKg"": 5.0, ""recycledContent"": 0}",91.7,"{water_usage,chemical_processing}","active","2024-02-03 08:20:00+00","2024-02-18 12:10:00+00"
5,5,,"Solar Panel Module","SOLAR-001","High-efficiency monocrystalline solar panel","Renewable Energy","final_product",1.0,"pcs",2,"{""sustainabilityScore"": 87, ""certifications"": [""IEC61215"", ""UL1703""], ""originCountry"": ""Malaysia"", ""carbonFootprint"": 67.4, ""weightKg"": 22.5, ""recycledContent"": 15}",82.1,"{end_of_life_recycling,silicon_sourcing}","active","2024-02-12 15:10:00+00","2024-02-25 11:40:00+00"
6,1,1,"Laptop Screen Assembly","SCREEN-001","15.6 inch LED display assembly","Electronics","sub_assembly",1.0,"pcs",2,"{""materialType"": ""LCD/LED"", ""originCountry"": ""South Korea"", ""certifications"": [""RoHS""], ""sustainabilityScore"": 72, ""carbonFootprint"": 15.3}",75.2,"{supplier_certifications,recycling_instructions}","active","2024-02-01 10:30:00+00","2024-02-15 14:45:00+00"
7,1,1,"Laptop Battery","BATTERY-001","Lithium-ion rechargeable battery","Electronics","component",1.0,"pcs",4,"{""materialType"": ""Lithium-ion"", ""originCountry"": ""Japan"", ""certifications"": [""UN38.3""], ""sustainabilityScore"": 68, ""carbonFootprint"": 8.9}",70.1,"{cobalt_sourcing,end_of_life_processing}","active","2024-02-01 10:30:00+00","2024-02-15 14:45:00+00"
8,1,1,"Aluminum Chassis","CHASSIS-001","Recycled aluminum laptop frame","Electronics","component",1.0,"pcs",2,"{""materialType"": ""Aluminum"", ""originCountry"": ""China"", ""certifications"": [""ASI""], ""sustainabilityScore"": 85, ""carbonFootprint"": 12.7, ""recycledContent"": 75}",88.4,"{manufacturing_process}","active","2024-02-01 10:30:00+00","2024-02-15 14:45:00+00"
9,3,2,"Organic Cotton Fabric","FABRIC-001","GOTS certified organic cotton fabric","Textiles","raw_material",0.5,"meters",4,"{""materialType"": ""Organic Cotton"", ""originCountry"": ""India"", ""certifications"": [""GOTS"", ""OEKO-TEX""], ""sustainabilityScore"": 95, ""carbonFootprint"": 8.2}",96.8,,"active","2024-02-05 11:45:00+00","2024-02-20 09:30:00+00"
10,3,2,"Natural Dye","DYE-001","Plant-based natural dye for fabric coloring","Textiles","raw_material",0.1,"liters",4,"{""materialType"": ""Natural Dye"", ""originCountry"": ""Peru"", ""certifications"": [""OEKO-TEX""], ""sustainabilityScore"": 92, ""carbonFootprint"": 2.1}",85.3,"{biodegradability_testing,color_fastness}","active","2024-02-05 11:45:00+00","2024-02-20 09:30:00+00"
11,2,3,"Recycled PET Flakes","PET-001","Clean recycled PET flakes for pellet production","Raw Materials","raw_material",1000.0,"kg",5,"{""materialType"": ""Recycled PET"", ""originCountry"": ""USA"", ""certifications"": [""GRS""], ""sustainabilityScore"": 90, ""carbonFootprint"": 1.8, ""recycledContent"": 100}",92.1,"{contamination_levels}","active","2024-01-28 14:00:00+00","2024-02-10 16:35:00+00"
12,4,4,"Bamboo Pulp","PULP-001","Processed bamboo pulp for fiber production","Raw Materials","raw_material",500.0,"kg",2,"{""materialType"": ""Bamboo Pulp"", ""originCountry"": ""Vietnam"", ""certifications"": [""FSC""], ""sustainabilityScore"": 93, ""carbonFootprint"": 5.4}",89.7,"{bleaching_process,water_usage}","active","2024-02-03 08:35:00+00","2024-02-18 12:25:00+00"
13,5,5,"Silicon Wafer","WAFER-001","High-purity silicon wafer for solar cell","Renewable Energy","component",72.0,"pcs",2,"{""materialType"": ""Silicon"", ""originCountry"": ""Germany"", ""certifications"": [""ISO14001""], ""sustainabilityScore"": 76, ""carbonFootprint"": 45.2}",78.9,"{energy_usage,waste_management}","active","2024-02-12 15:25:00+00","2024-02-25 11:55:00+00"
